ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n 	<li>Pannelli laterali realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Scivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente piastra HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Finestre sferiche in policarbonato,</li>
\n 	<li>Durevoli pietre da arrampicata realizzate in composito di resina poliestere con riempitivi minerali,</li>
\n 	<li>Barre e corrimani in acciaio inossidabile,</li>
\n 	<li>Viti coperte da tappi di plastica e/o viti in acciaio inossidabile,</li>
\n 	<li>Tappi di sicurezza sulla parte superiore della struttura realizzati in gomma o polipropilene</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>Attrezzatura dotata di certificato emesso da un ente accreditato o di dichiarazione di conformità;</li>
\n 	<li>Nessun bordo affilato o spazio che possa rappresentare un pericolo di intrappolamento per la testa, le dita o altre parti del corpo;</li>
\n 	<li>Ancoraggio su superficie piatta, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>Il rendering è solo a scopo di riferimento, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Steel +",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2306c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c7b6-2306c81s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2306c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2306c161s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2306c171s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/91c2-2306c181s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2306ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,158 cm,1,1,Larghezza,82 cm,1,1,Altezza Totale,83 cm,1,1,Età,14+ years,1,1,Numero di Utenti,9,1,1,Zona di Sicurezza,"14,6 m2",1,1,Altezza di Caduta Libera,<60 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,16 kg,1,0,In conformità alla norma EN,170x4x55 cm,1,1,Peso della parte più pesante,20 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,Acciaio,1,1,Tempo di installazione,4 ore,1,1

5824,simple,,WORKOUT 2307,1,1,visible,"La serie TOPICCO è composta da veicoli colorati di dimensioni generose progettati con attenzione ai dettagli. Include una nave, un camion dei pompieri, un camion e un rullo di costruzione. Questi veicoli liberano la naturale propensione del bambino a giocare gioiosamente nel mondo ""adulti"" e a partecipare al gioco di ruolo, il che favorisce un ottimo allenamento delle capacità di lavoro di squadra. La serie TOPICCO offre una serie di parti mobili e pannelli educativi che stimolano le abilità motorie e lo sviluppo intellettuale dei bambini piccoli.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere,</li>
\n 	<li>Piattaforme e pareti per l'arrampicata realizzate in resistente compensato antiscivolo e impermeabile o lamiera HPL,</li>
\n 	<li>Pannelli laterali realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,
\nScivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Timone realizzato in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Corde in acciaio rivestito in polipropilene, collegate con elementi in plastica resistente,</li>
\n 	<li>In acciaio inossidabile o alluminio,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>La resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Giochi, Giochi per parchi, Giochi per parchi > Giochi > Topicco",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2307c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2307c8.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2307c12.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2307c16.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2307c17.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2307c18.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2307ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,168 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"12,7 m2",1,1,Altezza di Caduta Libera,130 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,In conformità alla norma EN,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Dimensioni della parte più grande,"1,5 ore",1,0,Materiale,"Acciaio, HDPE",1,1,Tempo di installazione,4 ore,1,1

5825,simple,,WORKOUT 2308,1,1,visible,"La serie TOPICCO è composta da veicoli colorati di dimensioni generose progettati con attenzione ai dettagli. Include una nave, un camion dei pompieri, un camion e un rullo di costruzione. Questi veicoli liberano la naturale propensione del bambino a giocare gioiosamente nel mondo ""adulti"" e a partecipare al gioco di ruolo, il che favorisce un ottimo allenamento delle capacità di lavoro di squadra. La serie TOPICCO offre una serie di parti mobili e pannelli educativi che stimolano le abilità motorie e lo sviluppo intellettuale dei bambini piccoli.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere,</li>
\n 	<li>Piattaforme e pareti per l'arrampicata realizzate in resistente compensato antiscivolo e impermeabile o lamiera HPL,</li>
\n 	<li>Pannelli laterali realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,
\nScivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Timone realizzato in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Corde in acciaio rivestito in polipropilene, collegate con elementi in plastica resistente,</li>
\n 	<li>In acciaio inossidabile o alluminio,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>La resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Giochi, Giochi per parchi, Giochi per parchi > Giochi > Topicco",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2308c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2308c8.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2308c12.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2308c16.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2308c17.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2308c18.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2308ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,234 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"24,5 m2",1,1,Altezza di Caduta Libera,231 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,In conformità alla norma EN,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Dimensioni della parte più grande,"1,5 ore",1,0,Materiale,"Acciaio, HDPE",1,1,Tempo di installazione,4 ore,1,1

5826,simple,,WORKOUT 2309,1,1,visible,"La serie TOPICCO è composta da veicoli colorati di dimensioni generose progettati con attenzione ai dettagli. Include una nave, un camion dei pompieri, un camion e un rullo di costruzione. Questi veicoli liberano la naturale propensione del bambino a giocare gioiosamente nel mondo ""adulti"" e a partecipare al gioco di ruolo, il che favorisce un ottimo allenamento delle capacità di lavoro di squadra. La serie TOPICCO offre una serie di parti mobili e pannelli educativi che stimolano le abilità motorie e lo sviluppo intellettuale dei bambini piccoli.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere,</li>
\n 	<li>Piattaforme e pareti per l'arrampicata realizzate in resistente compensato antiscivolo e impermeabile o lamiera HPL,</li>
\n 	<li>Pannelli laterali realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,
\nScivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Timone realizzato in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Corde in acciaio rivestito in polipropilene, collegate con elementi in plastica resistente,</li>
\n 	<li>In acciaio inossidabile o alluminio,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>La resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Giochi, Giochi per parchi, Giochi per parchi > Giochi > Topicco",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2309c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2309c8.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2309c12.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2309c16.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2309c17.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2309c18.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2309ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,123 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"19,7 m2",1,1,Altezza di Caduta Libera,229 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,In conformità alla norma EN,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Dimensioni della parte più grande,"2,5 ore",1,0,Materiale,"HDPE, Legno",1,1,Tempo di installazione,4 ore,1,1

5827,simple,,WORKOUT 2310,1,1,visible,"La serie TOPICCO è composta da veicoli colorati di dimensioni generose progettati con attenzione ai dettagli. Include una nave, un camion dei pompieri, un camion e un rullo di costruzione. Questi veicoli liberano la naturale propensione del bambino a giocare gioiosamente nel mondo ""adulti"" e a partecipare al gioco di ruolo, il che favorisce un ottimo allenamento delle capacità di lavoro di squadra. La serie TOPICCO offre una serie di parti mobili e pannelli educativi che stimolano le abilità motorie e lo sviluppo intellettuale dei bambini piccoli.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere,</li>
\n 	<li>Piattaforme e pareti per l'arrampicata realizzate in resistente compensato antiscivolo e impermeabile o lamiera HPL,</li>
\n 	<li>Pannelli laterali realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,
\nScivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Timone realizzato in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Corde in acciaio rivestito in polipropilene, collegate con elementi in plastica resistente,</li>
\n 	<li>In acciaio inossidabile o alluminio,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>La resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Giochi, Giochi per parchi, Giochi per parchi > Giochi > Topicco",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2310c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2310c8.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/0e0e-2310c121s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2310c16.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2310c17.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2310c18.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2310ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,123 cm,1,1,Larghezza,12 cm,1,1,Altezza Totale,241 cm,1,1,Età,14+ years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"18,9 m2",1,1,Altezza di Caduta Libera,230 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,In conformità alla norma EN,10x10x350 cm,1,1,Peso della parte più pesante,110 kg,1,1,Dimensioni della parte più grande,2 ore,1,0,Materiale,"Acciaio, HDPE",1,1,Tempo di installazione,4 ore,1,1

5831,simple,,WORKOUT 2311,1,1,visible,"La serie TOPICCO è composta da veicoli colorati di dimensioni generose progettati con attenzione ai dettagli. Include una nave, un camion dei pompieri, un camion e un rullo di costruzione. Questi veicoli liberano la naturale propensione del bambino a giocare gioiosamente nel mondo ""adulti"" e a partecipare al gioco di ruolo, il che favorisce un ottimo allenamento delle capacità di lavoro di squadra. La serie TOPICCO offre una serie di parti mobili e pannelli educativi che stimolano le abilità motorie e lo sviluppo intellettuale dei bambini piccoli.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere,</li>
\n 	<li>Piattaforme e pareti per l'arrampicata realizzate in resistente compensato antiscivolo e impermeabile o lamiera HPL,</li>
\n 	<li>Pannelli laterali realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,
\nScivoli realizzati in acciaio inossidabile con pannelli laterali in resistente HDPE,</li>
\n 	<li>Elementi mobili realizzati in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Timone realizzato in resistente lamiera HDPE, resistente alle condizioni atmosferiche,</li>
\n 	<li>Corde in acciaio rivestito in polipropilene, collegate con elementi in plastica resistente,</li>
\n 	<li>In acciaio inossidabile o alluminio,</li>
\n 	<li>Viti coperte da tappi in plastica e/o viti in acciaio inossidabile,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura adattata per disabili; destinata a parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità;</li>
\n 	<li>Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 80/70/60 cm;</li>
\n 	<li>Lo scivolo non dovrebbe essere installato verso sud;</li>
\n 	<li>La resa è solo a scopo illustrativo, l'aspetto effettivo dell'attrezzatura e il suo colore possono variare;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Giochi, Giochi per parchi, Giochi per parchi > Giochi > Topicco",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/2311c31s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2311c8.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2311c12.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2311c16.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2311c17.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2311c18.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/2311ciinox.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,153 cm,1,1,Larghezza,123 cm,1,1,Altezza Totale,347 cm,1,1,Età,14+ years,1,1,Numero di Utenti,13,1,1,Zona di Sicurezza,"29,2 m2",1,1,Altezza di Caduta Libera,245 cm,1,1,Altezza delle piattaforme,16630:2015,1,0,Altezza piattaforma scivolo,32 kg,1,0,In conformità alla norma EN,4x4x450 cm,1,1,Peso della parte più pesante,110 kg,1,1,Dimensioni della parte più grande,"1,5 ore",1,0,Materiale,"Acciaio, HDPE, Legno",1,1,Tempo di installazione,4 ore,1,1
